  3.2863636e+001  2.8136364e+001
  3.3283626e+001  3.2323684e+001
  3.3288304e+001  3.2402632e+001
  3.3289474e+001  3.2476316e+001
  3.3285965e+001  3.2534211e+001
  3.3277778e+001  3.2597368e+001
  3.3260234e+001  3.2671053e+001
  3.3243860e+001  3.2728947e+001
  3.3229825e+001  3.2797368e+001
  3.3222807e+001  3.2865789e+001
  3.3218129e+001  3.2950000e+001
  3.3220468e+001  3.3039474e+001
  3.3230994e+001  3.3128947e+001
  3.3254386e+001  3.3234211e+001
  3.3287135e+001  3.3323684e+001
  3.3326901e+001  3.3413158e+001
  3.3403509e+001  3.3548538e+001
  3.3450292e+001  3.3607018e+001
  3.3539181e+001  3.3693567e+001
  3.3628070e+001  3.3768421e+001
  3.3698246e+001  3.3819883e+001
  3.3796491e+001  3.3866667e+001
  3.3908772e+001  3.3915789e+001
  3.4016374e+001  3.3943860e+001
  3.4091228e+001  3.3957895e+001
  3.4180117e+001  3.3964912e+001
  3.4259649e+001  3.3971930e+001
  3.4329825e+001  3.3985965e+001
  3.4381287e+001  3.4002339e+001
  3.4451462e+001  3.4028070e+001
  3.4549708e+001  3.4070175e+001
  3.7005263e+001  3.5184211e+001
